,,,,,,
x,vL0.0399,vel0.0399,vel0.04,"18564668311833500,00",mitjana,
0.81,"8855098525382240,0000000","0,8855098525","0,8812259670","8786520052704260,00","0,8833679098","8833679097749750,0000000"
8.200.000.000.000.000,"8830611530630270,0000000","0,8830611531","0,8786520053","8763540531785910,00","0,8808565792","8808565791667260,0000000"
8.300.000.000.000.000,"8805782276136550,0000000","0,8805782276","0,8763540532","8739936172656830,00","0,8784661404","8784661403961230,0000000"
0.84,"8783277144368570,0000000","0,8783277144","0,8739936173","8719225088591410,00","0,8761606659","8761606658512700,0000000"
0.85,"8761981145396290,0000000","0,8761981145","0,8719225089","8697207949325610,00","0,8740603117","8740603116993850,0000000"
0.86,"8740821845457060,0000000","0,8740821845","0,8697207949","8679776741563640,00","0,8719014897","8719014897391340,0000000"
0.87,"8721082573550010,0000000","0,8721082574","0,8679776742","8658875048798550,00","0,8700429658","8700429657556830,0000000"
0.88,"8701094666298180,0000000","0,8701094666","0,8658875049","8641714207988650,00","0,8679984858","8679984857548370,0000000"
0.89,"8683278741816310,0000000","0,8683278742","0,8641714208","8624164999770960,00","0,8662496475","8662496474902480,0000000"
0.9,"8664879611652840,0000000","0,8664879612","0,8624165000","8609068684006970,00","0,8644522306","8644522305711900,0000000"
0.91,"8648070851049600,0000000","0,8648070851","0,8609068684","8593292748061270,00","0,8628569768","8628569767528290,0000000"
0.92,"8633529964924860,0000000","0,8633529965","0,8593292748","8577309028952180,00","0,8613411356","8613411356493070,0000000"
0.93,"8618470711003530,0000000","0,8618470711","0,8577309029","8563239222112300,00","0,8597889870","8597889869977860,0000000"
9.400.000.000.000.000,"8603750656109260,0000000","0,8603750656","0,8563239222","8550490160863350,00","0,8583494939","8583494939110780,0000000"
9.500.000.000.000.000,"8589689456278870,0000000","0,8589689456","0,8550490161","8536622442966380,00","0,8570089809","8570089808571110,0000000"
0.96,"8575958796070490,0000000","0,8575958796","0,8536622443","8523886680321220,00","0,8556290620","8556290619518430,0000000"
0.97,"8564401245679580,0000000","0,8564401246","0,8523886680","8512800539414660,00","0,8544143963","8544143963000400,0000000"
0.98,"8552011710638490,0000000","0,8552011711","0,8512800539","8500374101756460,00","0,8532406125","8532406125026580,0000000"
0.99,"8539612056448350,0000000","0,8539612056","0,8500374102","8489853546765750,00","0,8519993079","8519993079102410,0000000"
1,"8528776736978980,0000000","0,8528776737","0,8489853547","8480510103673480,00","0,8509315142","8509315141872360,0000000"
01.01,"8517995030089210,0000000","0,851799503","0,8480510104","8470807590609060,00","0,8499252567","8499252566881350,0000000"
01.02,"8508081501813470,0000000","0,8508081502","0,8470807591","8461265309924010,00","0,8489444546","8489444546211260,0000000"
01.03,"8497852378495610,0000000","0,8497852378","0,8461265310","8452417084952100,00","0,8479558844","8479558844209810,0000000"
01.04,"8489819511742630,0000000","0,8489819512","0,8452417085","8443866116610280,00","0,8471118298","8471118298347360,0000000"
01.05,"8481326430761420,0000000","0,8481326431","0,8443866117","8435558429812160,00","0,8462596274","8462596273685850,0000000"
01.06,"8472487726782550,0000000","0,8472487727","0,8435558430","8427433711064820,00","0,8454023078","8454023078297360,0000000"
01.07,"8465010651278330,0000000","0,8465010651","0,8427433711","8421013662446280,00","0,8446222181","8446222181171570,0000000"
01.08,"8457365482465290,0000000","0,8457365482","0,8421013662","8414007350773330,00","0,8439189572","8439189572455790,0000000"
01.09,"8450326360140130,0000000","0,845032636","0,8414007351","8407548700966660,00","0,8432166855","8432166855456730,0000000"
1.1,"8443238567158470,0000000","0,8443238567","0,8407548701","8401467756554100,00","0,8425393634","8425393634062570,0000000"
1.11,"8436305999635170,0000000","0,8436306","0,8401467757","8394051239862510,00","0,8418886878","8418886878094640,0000000"
1.12,"8430345200831190,0000000","0,8430345201","0,8394051240","8389292755301140,00","0,8412198220","8412198220346850,0000000"
11.300.000.000.000.000,"8425568602935340,0000000","0,8425568603","0,8389292755","8384122851487700,00","0,8407430679","8407430679118240,0000000"
11.400.000.000.000.000,"8419405544469350,0000000","0,8419405544","0,8384122851","8378747032203010,00","0,8401764198","8401764197978530,0000000"
11.500.000.000.000.000,"8414258233533070,0000000","0,8414258234","0,8378747032","8374011776032910,00","0,8396502633","8396502632868040,0000000"
1.16,"8409650100265990,0000000","0,84096501","0,8374011776","8369559245627910,00","0,8391830938","8391830938149450,0000000"
1.17,"8404891063891630,0000000","0,8404891064","0,8369559246","8365160817866920,00","0,8387225155","8387225154759770,0000000"
1.18,"8400836046906260,0000000","0,8400836047","0,8365160818","8361697862461850,00","0,8382998432","8382998432386590,0000000"
1.19,"8396695178029070,0000000","0,8396695178","0,8361697862","8357771898846150,00","0,8379196520","8379196520245460,0000000"
1.2,"8392355690667090,0000000","0,8392355691","0,8357771899","8353924575283590,00","0,8375063795","8375063794756620,0000000"
1.21,"8389172584822840,0000000","0,8389172585","0,8353924575","8351114052726840,00","0,8371548580","8371548580053210,0000000"
1.22,"8385248421275350,0000000","0,8385248421","0,8351114053","8347429552301530,00","0,8368181237","8368181237001100,0000000"
