,,,,,,
,,,,,,
,,,vel04,,,vel035
,1.3,"11174678536038800,00","1,117467854",1.3,"9836595013830820,00","0,9836595014"
,1.31,"11168506939824400,00","1,116850694",1.31,"9840851616263330,00","0,9840851616"
,1.32,"11231676514621900,00","1,123167651",1.32,"9836021775770310,00","0,9836021776"
,1.33,"11283478218003900,00","1,128347822",1.33,"9816180117974490,00","0,9816180118"
,1.34,"11262102746372800,00","1,126210275",1.34,"9831672093335610,00","0,9831672093"
,1.35,"11265593329177700,00","1,126559333",1.35,"9838495693152580,00","0,9838495693"
,1.36,"11208598021814700,00","1,120859802",1.36,"9834982335774110,00","0,9834982336"
,1.37,"11191240329443200,00","1,119124033",1.37,"9848248999720610,00","0,9848249"
,13.800.000.000.000.000,"11146255188347100,00","1,114625519",13.800.000.000.000.000,"9802280170693090,00","0,9802280171"
,13.900.000.000.000.000,"11046357637228300,00","1,104635764",13.900.000.000.000.000,"9770871343015700,00","0,9770871343"
,14.000.000.000.000.000,"11035607067115600,00","1,103560707",14.000.000.000.000.000,"9803388701602920,00","0,9803388702"
,1.41,"10952033329351500,00","1,095203333",1.41,"9775803126467170,00","0,9775803126"
,1.42,"10887314019049900,00","1,088731402",1.42,"9703416057303180,00","0,9703416057"
,1.43,"10812409897970100,00","1,08124099",1.43,"9620847152914620,00","0,9620847153"
,1.44,"10804588312164000,00","1,080458831",1.44,"9609369553810270,00","0,9609369554"
,1.45,"10975879626759800,00","1,097587963",1.45,"9637090040491980,00","0,963709004"
,1.46,"11182272514921900,00","1,118227251",1.46,"9737467476599810,00","0,9737467477"
,1.47,"11304738380297500,00","1,130473838",1.47,"9740005068352110,00","0,9740005068"
,1.48,"11208765860305300,00","1,120876586",1.48,"9726643610570130,00","0,9726643611"
,1.49,"10900993969230200,00","1,090099397",1.49,"9598993632321130,00","0,9598993632"
,1.5,"10240543166954200,00","1,024054317",1.5,"9198028000874710,00","0,9198028001"
