,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"y=0.04, x=0.0399",,"y=0.06, x=0.0399",,"y=0.05, x=0.0399",,"y=0.035, x=0.0399",,"y=0.06, x=0.04",,"y=0.065, x=0.04",,"y=0.05, x=0.04",
0.48,"12557215961207800,0000000","1,25572159612","8203739591220370,0000000","0,8203739591","10595463021831700,0000000","1,05954630218","12643474384420700,0000000","1,2643474384","12467870679580500,0000000","1,2467870680","12717258997419700,0000000","1,27172589974","10560604808819600,0000000","1,0560604809"
0.49,"12400706328278600,0000000","1,24007063283","8234612988288620,0000000","0,8234612988","10539487312615000,0000000","1,05394873126","12462818495508600,0000000","1,2462818496","12316519349315700,0000000","1,2316519349","12546960008437700,0000000","1,25469600084","10505311386627400,0000000","1,0505311387"
0.5,"12239525221027700,0000000","1,22395252210","8260514983169170,0000000","0,8260514983","10484936887267200,0000000","1,04849368873","12311407673146600,0000000","1,2311407673","12167778376955700,0000000","1,2167778377","12399375611531400,0000000","1,23993756115","10448483471743700,0000000","1,0448483472"
0.51,"12095853049718200,0000000","1,20958530497","8285237908673870,0000000","0,8285237909","10428835079961800,0000000","1,04288350800","12154448516848000,0000000","1,2154448517","12026885888406300,0000000","1,2026885888","12218638186775200,0000000","1,22186381868","10390538125064800,0000000","1,0390538125"
0.52,"11943760206682500,0000000","1,19437602067","8303284532849850,0000000","0,8303284533","10369744699326600,0000000","1,03697446993","12000252539236800,0000000","1,2000252539","11891671140762900,0000000","1,1891671141","12085143454204300,0000000","1,20851434542","10331941885309900,0000000","1,0331941885"
0.53,"11821449091953500,0000000","1,18214490920","8318927278870060,0000000","0,8318927279","10305919377885100,0000000","1,03059193779","11858291795050200,0000000","1,1858291795","11752829352153200,0000000","1,1752829352","11923215936219400,0000000","1,19232159362","10271722815030000,0000000","1,0271722815"
0.54,"11671824976406400,0000000","1,16718249764","8331416271714470,0000000","0,8331416272","10245651275983600,0000000","1,02456512760","11715875603816300,0000000","1,1715875604","11623336046001700,0000000","1,1623336046","11788058781119100,0000000","1,17880587811","10211317910372100,0000000","1,0211317910"
0.55,"11541465189139600,0000000","1,15414651891","8340624524419990,0000000","0,8340624524","10184004601793100,0000000","1,01840046018","11577158221490400,0000000","1,1577158221","11498281228949400,0000000","1,1498281229","11654623687888500,0000000","1,16546236879","10152720797360600,0000000","1,0152720797"
0.56,"11410006378508600,0000000","1,14100063785","8346488596846530,0000000","0,8346488597","10124664720408400,0000000","1,01246647204","11456509489799000,0000000","1,1456509490","11359747251037600,0000000","1,1359747251","11533684199187800,0000000","1,15336841992","10093920668292400,0000000","1,0093920668"
5.700.000.000.000.000,"11289782816220000,0000000","1,12897828162","8352594217914690,0000000","0,8352594218","10062616648282200,0000000","1,00626166483","11329835743423300,0000000","1,1329835743","11248935797791000,0000000","1,1248935798","11403063544463700,0000000","1,14030635445","10034138586392900,0000000","1,0034138586"
0.58,"11163209594267200,0000000","1,11632095943","8355151734249070,0000000","0,8355151734","10003194303012900,0000000","1,00031943030","11215651268530700,0000000","1,1215651269","11131457805334700,0000000","1,1131457805","11285154983594000,0000000","1,12851549836","9973461705795040,0000000","0,9973461706"
0.59,"11049027378752200,0000000","1,10490273788","8356304932660120,0000000","0,8356304933","9944604218427630,0000000","0,99446042184","11099612385583700,0000000","1,1099612386","11021517498380100,0000000","1,1021517498","11164261288518700,0000000","1,11642612885","9918187602653900,0000000","0,9918187603"
0.6,"10948423832800400,0000000","1,09484238328","8356122226886640,0000000","0,8356122227","9884754999739930,0000000","0,98847549997","10991643179913300,0000000","1,0991643180","10907887959540000,0000000","1,0907887960","11052863695136100,0000000","1,10528636951","9860968022360320,0000000","0,9860968022"
0.61,"10839772706080600,0000000","1,08397727061","8355679159215200,0000000","0,8355679159","9828924120814490,0000000","0,98289241208","10877064031056200,0000000","1,0877064031","10804881811380000,0000000","1,0804881811","10948547740750800,0000000","1,09485477408","9804800811519180,0000000","0,9804800812"
0.62,"10735086516564500,0000000","1,07350865166","8352996385013730,0000000","0,8352996385","9773157617901100,0000000","0,97731576179","10777693425405300,0000000","1,0777693425","10706267434053900,0000000","1,0706267434","10846825224692200,0000000","1,08468252247","9754021365349520,0000000","0,9754021365"
0.63,"10642219294230400,0000000","1,06422192942","8350803239734760,0000000","0,835080324","9718938078611560,0000000","0,97189380786","10678464627761800,0000000","1,0678464628","10615849180659700,0000000","1,0615849181","10746183162612800,0000000","1,07461831626","9699343440485160,0000000","0,9699343440"
0.64,"10550625592353300,0000000","1,05506255924","8346098409971890,0000000","0,834609841","9667603102949250,0000000","0,96676031029","10583046345880600,0000000","1,0583046346","10520197749199800,0000000","1,0520197749","10655460820657900,0000000","1,06554608207","9649368255588930,0000000","0,9649368256"
0.65,"10456292835618200,0000000","1,04562928356","8342297185576660,0000000","0,8342297186","9616296735121270,0000000","0,96162967351","10497788929200300,0000000","1,0497788929","10437993483467600,0000000","1,0437993483","10561478581069000,0000000","1,05614785811","9600863680272020,0000000","0,9600863680"
0.66,"10373288370660100,0000000","1,03732883707","8337550493087420,0000000","0,8337550493","9565912121132920,0000000","0,95659121211","10415815094554600,0000000","1,0415815095","10353222587557100,0000000","1,0353222588","10480638283334800,0000000","1,04806382833","9550535443382360,0000000","0,9550535443"
0.67,"10288701139103300,0000000","1,02887011391","8332479022319730,0000000","0,8332479022","9518616538589420,0000000","0,95186165386","10333431083288200,0000000","1,0333431083","10272740759758700,0000000","1,0272740760","10397638315456100,0000000","1,03976383155","9505760814590760,0000000","0,9505760815"
0.68,"10212051204761200,0000000","1,02120512048","8326680794201650,0000000","0,8326680794","9469873383707390,0000000","0,94698733837","10256771819947900,0000000","1,0256771820","10199052616944600,0000000","1,0199052617","10317538931699000,0000000","1,03175389317","9460334305302950,0000000","0,9460334305"
6.900.000.000.000.000,"10137093642489400,0000000","1,01370936425","8321389383765140,0000000","0,8321389384","9427292560321620,0000000","0,94272925603","10178231489397700,0000000","1,0178231489","10122658443387400,0000000","1,0122658443","10245545135976400,0000000","1,02455451360","9418535781104780,0000000","0,9418535781"
7.000.000.000.000.000,"10069226447294500,0000000","1,00692264473","8315193801815760,0000000","0,8315193802","9384317176906470,0000000","0,93843171769","10109766979632800,0000000","1,0109766980","10056095723442600,0000000","1,0056095723","10172143329447000,0000000","1,01721433294","9375347485855720,0000000","0,9375347486"
0.71,"10002542085680600,0000000","1,00025420857","8309776799027990,0000000","0,8309776799","9341937248534440,0000000","0,93419372485","10040939399032500,0000000","1,0040939399","9990167092568040,0000000","0,9990167093","10107003916766900,0000000","1,01070039168","9336083068320370,0000000","0,9336083068"
0.72,"9932523790251210,0000000","0,99325237903","8304173335272530,0000000","0,8304173335","9302132042725210,0000000","0,93021320427","9975195874155340,0000000","0,9975195874","9922053152610110,0000000","0,9922053153","10038575318029700,0000000","1,00385753180","9296469881007600,0000000","0,9296469881"
0.73,"9867020242139150,0000000","0,98670202421","8298576516617460,0000000","0,8298576517","9264499685256890,0000000","0,92644996853","9913345931305080,0000000","0,9913345931","9862354982797160,0000000","0,9862354983","9977243167080490,0000000","0,99772431671","9260994600399210,0000000","0,9260994600"
0.74,"9808813965400960,0000000","0,98088139654","8293189879525280,0000000","0,829318988","9227013669739940,0000000","0,92270136697","9855018241945900,0000000","0,9855018242","9808355730579090,0000000","0,9808355731","9912494142427020,0000000","0,99124941424","9223351820878930,0000000","0,9223351821"
0.75,"9757736741925280,0000000","0,97577367419","8287541273555300,0000000","0,8287541274","9191643974287510,0000000","0,91916439743","9799758864639990,0000000","0,9799758865","9751269886668780,0000000","0,9751269887","9859441567545760,0000000","0,98594415675","9189498139287030,0000000","0,9189498139"
0.76,"9700089337960530,0000000","0,97000893380","8281870304945080,0000000","0,8281870305","9156471828504550,0000000","0,91564718285","9744601159011580,0000000","0,9744601159","9700052275172590,0000000","0,9700052275","9805853792586370,0000000","0,98058537926","9157469608821310,0000000","0,9157469609"
0.77,"9649861900144320,0000000","0,96498619001","8276754469639340,0000000","0,827675447","9125395785249600,0000000","0,91253957852","9695769810324730,0000000","0,9695769810","9650230423698070,0000000","0,9650230424","9751725324860610,0000000","0,97517253249","9125266961826970,0000000","0,9125266962"
0.78,"9602278510276820,0000000","0,96022785103","8271078593209160,0000000","0,8271078593","9093697075792200,0000000","0,90936970758","9645716921121640,0000000","0,9645716921","9602093822098480,0000000","0,9602093822","9702118652421210,0000000","0,97021186524","9095725612053440,0000000","0,9095725612"
0.79,"9552890802797110,0000000","0,95528908028","8266338724416940,0000000","0,8266338724","9064047296709810,0000000","0,90640472967","9596757393411680,0000000","0,9596757393","9554849712565080,0000000","0,9554849713","9655806842553770,0000000","0,96558068426","9066552719484280,0000000","0,9066552719"
0.8,"9508910095377090,0000000","0,95089100954","8261997359853950,0000000","0,826199736","9036555140827860,0000000","0,90365551408","9550152529547180,0000000","0,9550152530","9510804349946190,0000000","0,9510804350","9609594572541820,0000000","0,96095945725","9039798995606230,0000000","0,9039798996"
0.81,"9463331993774570,0000000","0,94633319938","8256661679732630,0000000","0,825666168","9008255843847790,0000000","0,90082558438","9509375040900990,0000000","0,9509375041","9469624804459250,0000000","0,9469624804","9563280298208510,0000000","0,95632802982","9013662143057400,0000000","0,9013662143"
8.200.000.000.000.000,"9423693849879650,0000000","0,94236938499","8252082367203190,0000000","0,8252082367","8981183227037160,0000000","0,89811832270","9467850883656660,0000000","0,9467850884","9431207829947990,0000000","0,9431207830","9523187236214580,0000000","0,95231872362","8986957881393990,0000000","0,8986957881"
8.300.000.000.000.000,"9383940164768840,0000000","0,93839401648","8248430887796420,0000000","0,8248430888","8956226605909600,0000000","0,89562266059","9429119573199610,0000000","0,9429119573","9392227649423930,0000000","0,9392227649","9483753819529050,0000000","0,94837538195","8963135031513740,0000000","0,8963135032"
0.84,"9350655709600100,0000000","0,93506557096","8245158568009630,0000000","0,8245158568","8931147426852030,0000000","0,89311474269","9389941773186460,0000000","0,9389941773","9358300921068270,0000000","0,9358300921","9448638989595450,0000000","0,94486389896","8938630117061920,0000000","0,8938630117"
0.85,"9311915691436810,0000000","0,93119156914","8240512525591100,0000000","0,8240512526","8910612853599710,0000000","0,89106128536","9355277769643000,0000000","0,9355277770","9322064320151680,0000000","0,9322064320","9410124216143880,0000000","0,94101242161","8917155068438680,0000000","0,8917155068"
0.86,"9278198581497530,0000000","0,92781985815","8237575670013640,0000000","0,823757567","8888377424333520,0000000","0,88883774243","9322178472128490,0000000","0,9322178472","9289842560445090,0000000","0,9289842560","9375385702792570,0000000","0,93753857028","8894304053911280,0000000","0,8894304054"
0.87,"9246740389076520,0000000","0,92467403891","8234310817153110,0000000","0,8234310817","8866355118062780,0000000","0,88663551181","9291226041365710,0000000","0,9291226041","9258636500193750,0000000","0,9258636500","9343098415871590,0000000","0,93430984159","8876237664260910,0000000","0,8876237664"
0.88,"9215960380269530,0000000","0,92159603803","8230733463620580,0000000","0,8230733464","8846758797975020,0000000","0,88467587980","9256793172091520,0000000","0,9256793172","9225284951018100,0000000","0,9225284951","9312893389963260,0000000","0,93128933900","8854530779578880,0000000","0,8854530780"
0.89,"9185962277675070,0000000","0,91859622777","8227598861883700,0000000","0,8227598862","8827668381243830,0000000","0,88276683812","9227149274185990,0000000","0,9227149274","9196669282167310,0000000","0,9196669282","9280415323338840,0000000","0,92804153233","8836715002293710,0000000","0,8836715002"
0.9,"9157255530013180,0000000","0,91572555300","8224992921226120,0000000","0,8224992921","8809031851192770,0000000","0,88090318512","9200860853323570,0000000","0,9200860853","9169804953235520,0000000","0,9169804953","9251764686765910,0000000","0,92517646868","8818511766639520,0000000","0,8818511767"
0.91,"9132577555016670,0000000","0,91325775550","8222066639658720,0000000","0,822206664","8791351712052280,0000000","0,87913517121","9174294151854150,0000000","0,9174294152","9143790980023750,0000000","0,9143790980","9223876694604310,0000000","0,92238766946","8802838587118820,0000000","0,8802838587"
0.92,"9106771634222360,0000000","0,91067716342","8219948058803080,0000000","0,8219948059","8774144305600300,0000000","0,87741443056","9144869494148990,0000000","0,9144869494","9119014233101760,0000000","0,9119014233","9196846998763360,0000000","0,91968469988","8786445547035700,0000000","0,8786445547"
0.93,"9080798134503270,0000000","0,90807981345","8217573072920550,0000000","0,8217573073","8759433851925560,0000000","0,87594338519","9121195597830140,0000000","0,9121195598","9094128025141580,0000000","0,9094128025","9171640967943820,0000000","0,91716409679","8769846370122720,0000000","0,8769846370"
9.400.000.000.000.000,"9057850283503940,0000000","0,90578502835","8215557755625740,0000000","0,8215557756","8744433337792380,0000000","0,87444333378","9097840707986220,0000000","0,9097840708","9070960309458780,0000000","0,9070960309","9149312146857080,0000000","0,91493121469","8755230552639940,0000000","0,8755230553"
9.500.000.000.000.000,"9035236356959950,0000000","0,90352363570","8214023662813950,0000000","0,8214023663","8729287020403640,0000000","0,87292870204","9073528996129460,0000000","0,9073528996","9048407978839870,0000000","0,9048407979","9125101211327830,0000000","0,91251012113","8741987817518880,0000000","0,8741987818"
0.96,"9014260144351440,0000000","0,90142601444","8212430426604910,0000000","0,8212430427","8715021424541110,0000000","0,87150214245","9053731336671530,0000000","0,9053731337","9029358370007660,0000000","0,9029358370","9103544025330520,0000000","0,91035440253","8727580175362500,0000000","0,8727580175"
0.97,"8994067282871770,0000000","0,89940672829","8211492575042140,0000000","0,8211492575","8702794275033810,0000000","0,87027942750","9031898143672540,0000000","0,9031898144","9009933739177690,0000000","0,9009933739","9080554137064150,0000000","0,90805541371","8714347232786610,0000000","0,8714347233"
0.98,"8974285898154490,0000000","0,89742858982","8209675509508660,0000000","0,820967551","8689757739516100,0000000","0,86897577395","9012465403368570,0000000","0,9012465403","8989037174673360,0000000","0,8989037175","9061628505278640,0000000","0,90616285053","8702816519279180,0000000","0,8702816519"
0.99,"8956054681766290,0000000","0,89560546818","8208632087900600,0000000","0,8208632088","8677450158447820,0000000","0,86774501584","8994247794826770,0000000","0,8994247795","8971482537667960,0000000","0,8971482538","9042446127934040,0000000","0,90424461279","8689909295927120,0000000","0,8689909296"
1,"8936649676163840,0000000","0,89366496762","8207938586971800,0000000","0,8207938587","8665630520930750,0000000","0,86656305209","8975272618041760,0000000","0,8975272618","8953949263426910,0000000","0,8953949263","9023220819298510,0000000","0,90232208193","8678971124917870,0000000","0,8678971125"
01.01,"8920625446773150,0000000","0,89206254468","8206527422107020,0000000","0,8206527422","8654851354700430,0000000","0,86548513547","8958372247757760,0000000","0,8958372248","8937279132221680,0000000","0,8937279132","9005629898171330,0000000","0,90056298982","8669245249293690,0000000","0,8669245249"
